cod_mpio,municipio,departamento,idx_minero,idx_deforestacion,idx_fuego,riesgo_nivel,mineria_titulos,rucom_registros,anm_proyectos,presion_extractiva,formalizacion,brecha_formalizacion,alerta_informalidad
13300,HATILLO DE LOBA,BOLÍVAR,0.5035,0.0,0.1502,Medio,5,5,85,0.649,0.638,0.011,False
20013,AGUSTÍN CODAZZI,CESAR,0.2408,0.0,0.7537,Medio,2,2,149,0.621,0.61,0.011,False
13062,ARROYOHONDO,BOLÍVAR,0.3809,0.0,0.4392,Medio,8,8,39,0.634,0.624,0.01,False
20175,CHIMICHAGUA,CESAR,0.6191,0.0,0.9354,Crítico,36,36,23,0.771,0.766,0.005,False
73148,CARMEN DE APICALÁ,TOLIMA,0.5651,0.0,0.4462,Medio,9,9,104,0.718,0.715,0.003,False
20750,SAN DIEGO,CESAR,0.5311,0.0,0.2434,Medio,11,11,41,0.673,0.67,0.003,False
47288,FUNDACIÓN,MAGDALENA,0.4204,0.0,0.2595,Medio,11,11,15,0.621,0.621,0.0,False
19100,BOLÍVAR,CAUCA,0.4963,0.0,0.3504,Medio,7,7,88,0.668,0.669,-0.001,False
13673,SANTA CATALINA,BOLÍVAR,0.4679,0.0,0.5086,Alto,10,10,61,0.678,0.688,-0.01,False
20383,LA GLORIA,CESAR,0.4814,0.0,0.4841,Medio,14,14,42,0.679,0.695,-0.016,False
70001,SINCELEJO,SUCRE,0.5197,0.0,0.3557,Medio,9,9,86,0.682,0.699,-0.017,False
54003,ÁBREGO,NORTE DE SANTANDER,0.446,0.0,0.5919,Alto,11,11,54,0.673,0.692,-0.019,False
68406,LEBRIJA,SANTANDER,0.4401,0.0,0.1593,Bajo,10,10,32,0.624,0.644,-0.02,False
19532,PATÍA,CAUCA,0.5353,0.0,0.3675,Medio,8,8,128,0.694,0.714,-0.02,False
20178,CHIRIGUANÁ,CESAR,0.4954,0.0,0.9923,Crítico,10,10,111,0.713,0.734,-0.021,False
41016,AIPE,HUILA,0.4863,0.0,0.5019,Alto,7,7,144,0.682,0.704,-0.022,False
85125,HATO COROZAL,CASANARE,0.5745,0.0,0.4714,Alto,20,20,47,0.724,0.746,-0.022,False
17614,RIOSUCIO,CALDAS,0.4643,0.0,0.1687,Bajo,4,4,154,0.636,0.661,-0.025,False
68190,CIMITARRA,SANTANDER,0.5999,0.0,0.6113,Alto,17,17,88,0.747,0.773,-0.026,False
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,0.4168,0.0,0.4251,Alto,9,9,58,0.643,0.669,-0.026,False
27050,ATRATO,CHOCÓ,0.6515,0.0,0.0,Medio,1,1,394,0.583,0.619,-0.036,False
85250,PAZ DE ARIPORO,CASANARE,0.5015,0.0,0.5813,Alto,16,16,60,0.696,0.737,-0.041,False
13030,ALTOS DEL ROSARIO,BOLÍVAR,0.531,0.0,0.368,Medio,18,18,48,0.691,0.734,-0.043,False
19701,SANTA ROSA,CAUCA,0.634,0.5306,0.0,Crítico,30,30,47,0.741,0.79,-0.049,False
20250,EL PASO,CESAR,0.3857,0.0,0.8075,Alto,8,8,126,0.665,0.714,-0.049,False
19573,PUERTO TEJADA,CAUCA,0.6091,0.0,0.6046,Alto,24,24,73,0.749,0.799,-0.05,False
52287,FUNES,NARIÑO,0.4296,0.1078,0.0,Bajo,10,10,64,0.638,0.691,-0.053,False
19212,CORINTO,CAUCA,0.5863,0.0,0.2891,Medio,14,14,94,0.702,0.756,-0.054,False
25320,GUADUAS,CUNDINAMARCA,0.5489,0.0,0.4068,Alto,12,12,117,0.706,0.76,-0.054,False
68500,OIBA,SANTANDER,0.52,0.0,0.314,Medio,10,10,104,0.676,0.731,-0.055,False
