cod_mpio,municipio,nivel_predicho,conjunto_conformal,tamano_conjunto,certeza_calibrada
52260,EL TAMBO,Bajo,Bajo,1,Alta
52287,FUNES,Bajo,Bajo,1,Alta
52317,GUACHUCAL,Bajo,Bajo,1,Alta
52320,GUAITARILLA,Bajo,Bajo,1,Alta
52323,GUALMATÁN,Bajo,Bajo,1,Alta
52352,ILES,Bajo,Bajo,1,Alta
52354,IMUÉS,Bajo,Bajo,1,Alta
52356,IPIALES,Alto,Alto,1,Alta
52378,LA CRUZ,Bajo,Bajo,1,Alta
52381,LA FLORIDA,Bajo,Bajo,1,Alta
52385,LA LLANADA,Bajo,Bajo,1,Alta
52390,LA TOLA,Bajo,Bajo,1,Alta
52399,LA UNIÓN,Bajo,Bajo,1,Alta
52405,LEIVA,Bajo,Bajo,1,Alta
52411,LINARES,Bajo,Bajo,1,Alta
52418,LOS ANDES,Medio,Medio,1,Alta
